steps,episodes,elapsed,mean,median,stdev,max,min,average_q,average_loss,cumulative_steps,n_updates,rlen
75025,25,2347.625215768814,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,nan,3.8697502994537354,75025,13756,75025
78026,26,2444.9948279857635,-0.699999988079071,-0.699999988079071,0.0,-0.699999988079071,-0.699999988079071,nan,3.869873135089874,78026,14506,78026
81027,27,2543.6823420524597,-0.4999999925494194,-0.4999999925494194,0.0,-0.4999999925494194,-0.4999999925494194,nan,3.8695449113845823,81027,15256,81027
84028,28,2641.912919282913,-0.7999999970197678,-0.7999999970197678,0.0,-0.7999999970197678,-0.7999999970197678,nan,3.8692071223258973,84028,16007,84028
87029,29,2737.895336866379,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,nan,3.869679069519043,87029,16757,87029
90030,30,2834.3782176971436,0.6000000163912773,0.6000000163912773,0.0,0.6000000163912773,0.6000000163912773,nan,3.869675772190094,90030,17507,90030
93031,31,2930.034752368927,-4.299999997019768,-4.299999997019768,0.0,-4.299999997019768,-4.299999997019768,nan,3.869916386604309,93031,18257,93031
96032,32,3027.362216234207,1.000000037252903,1.000000037252903,0.0,1.000000037252903,1.000000037252903,nan,3.8680676937103273,96032,19008,96032
99033,33,3125.2711997032166,0.0,0.0,0.0,0.0,0.0,nan,3.845737934112549,99033,19758,99033
102034,34,3223.0029530525208,2.0000000298023224,2.0000000298023224,0.0,2.0000000298023224,2.0000000298023224,nan,3.8459873747825624,102034,20508,102034
105035,35,3320.0613412857056,0.7000000104308128,0.7000000104308128,0.0,0.7000000104308128,0.7000000104308128,nan,3.8456784868240357,105035,21258,105035
108036,36,3416.9066083431244,-1.7999999970197678,-1.7999999970197678,0.0,-1.7999999970197678,-1.7999999970197678,nan,3.8455914068222046,108036,22009,108036
111037,37,3513.58891749382,-0.3999999836087227,-0.3999999836087227,0.0,-0.3999999836087227,-0.3999999836087227,nan,3.8459525728225707,111037,22759,111037
114038,38,3610.5279610157013,-1.2999999821186066,-1.2999999821186066,0.0,-1.2999999821186066,-1.2999999821186066,nan,3.8457509994506838,114038,23509,114038
117039,39,3706.7020061016083,0.9999999776482582,0.9999999776482582,0.0,0.9999999776482582,0.9999999776482582,nan,3.845451171398163,117039,24259,117039
120040,40,3804.622853040695,-0.09999997913837433,-0.09999997913837433,0.0,-0.09999997913837433,-0.09999997913837433,nan,3.845684447288513,120040,25010,120040
123041,41,3903.0551133155823,-1.2999999970197678,-1.2999999970197678,0.0,-1.2999999970197678,-1.2999999970197678,nan,3.845746238231659,123041,25760,123041
126042,42,4001.31929397583,-0.09999997913837433,-0.09999997913837433,0.0,-0.09999997913837433,-0.09999997913837433,nan,3.8458472752571105,126042,26510,126042
129043,43,4100.056070804596,0.9999999850988388,0.9999999850988388,0.0,0.9999999850988388,0.9999999850988388,nan,3.8195433974266053,129043,27260,129043
132044,44,4198.19616985321,-0.09999992698431015,-0.09999992698431015,0.0,-0.09999992698431015,-0.09999992698431015,nan,3.8189695048332215,132044,28011,132044
135045,45,4297.278653144836,-0.19999999552965164,-0.19999999552965164,0.0,-0.19999999552965164,-0.19999999552965164,nan,3.819239957332611,135045,28761,135045
138046,46,4396.757056236267,-1.2999999895691872,-1.2999999895691872,0.0,-1.2999999895691872,-1.2999999895691872,nan,3.8190478587150576,138046,29511,138046
141047,47,4495.787325382233,0.9000000283122063,0.9000000283122063,0.0,0.9000000283122063,0.9000000283122063,nan,3.819507076740265,141047,30261,141047
144048,48,4594.696156024933,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.819293940067291,144048,31012,144048
147049,49,4694.477518558502,-1.1999999806284904,-1.1999999806284904,0.0,-1.1999999806284904,-1.1999999806284904,nan,3.8192689514160154,147049,31762,147049
150050,50,4793.522051334381,-0.5999999940395355,-0.5999999940395355,0.0,-0.5999999940395355,-0.5999999940395355,nan,3.8196254205703735,150050,32512,150050
153051,51,4892.933176994324,-1.199999988079071,-1.199999988079071,0.0,-1.199999988079071,-1.199999988079071,nan,3.819084868431091,153051,33262,153051
156052,52,4993.007896661758,-1.2999999821186066,-1.2999999821186066,0.0,-1.2999999821186066,-1.2999999821186066,nan,3.819365122318268,156052,34013,156052
159053,53,5091.123225212097,2.2351741790771484e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08,nan,3.819339249134064,159053,34763,159053
162054,54,5189.981023788452,0.9000000059604645,0.9000000059604645,0.0,0.9000000059604645,0.9000000059604645,nan,3.7942075729370117,162054,35513,162054
165055,55,5290.817073106766,0.9000000134110451,0.9000000134110451,0.0,0.9000000134110451,0.9000000134110451,nan,3.794528117179871,165055,36263,165055
168056,56,5390.231169223785,0.800000011920929,0.800000011920929,0.0,0.800000011920929,0.800000011920929,nan,3.7942536211013795,168056,37014,168056
171057,57,5490.328849554062,2.000000037252903,2.000000037252903,0.0,2.000000037252903,2.000000037252903,nan,3.794322702884674,171057,37764,171057
174058,58,5590.955579996109,1.0000000149011612,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,nan,3.794262511730194,174058,38514,174058
177059,59,5689.951942920685,0.800000011920929,0.800000011920929,0.0,0.800000011920929,0.800000011920929,nan,3.7945095705986023,177059,39264,177059
180060,60,5790.735137701035,-0.9999999701976776,-0.9999999701976776,0.0,-0.9999999701976776,-0.9999999701976776,nan,3.7939420771598815,180060,40015,180060
183061,61,5892.724462032318,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.794315824508667,183061,40765,183061
186062,62,5992.2984302043915,-1.6999999955296516,-1.6999999955296516,0.0,-1.6999999955296516,-1.6999999955296516,nan,3.7942496085166932,186062,41515,186062
189063,63,6093.801300048828,-1.1999999806284904,-1.1999999806284904,0.0,-1.1999999806284904,-1.1999999806284904,nan,3.794394552707672,189063,42265,189063
192064,64,6194.714948177338,-0.09999994933605194,-0.09999994933605194,0.0,-0.09999994933605194,-0.09999994933605194,nan,3.7897258949279786,192064,43016,192064
195065,65,6294.267073869705,1.0000000298023224,1.0000000298023224,0.0,1.0000000298023224,1.0000000298023224,nan,3.7677016067504883,195065,43766,195065
198066,66,6394.73338508606,0.9000000134110451,0.9000000134110451,0.0,0.9000000134110451,0.9000000134110451,nan,3.767908194065094,198066,44516,198066
