#{"t_start": 1607447852.2799942, "env_id": null}
r,l,t
-3.0,3001,18547.562402
-0.1,3001,18596.872994
-2.6,3001,18684.180033
-0.7,3001,18732.92699
0.8,3001,18781.936342
-2.7,3001,18829.133907
-0.4,3001,18877.919055
-1.8,3001,18925.740234
-2.2,3001,18975.20079
-1.4,3001,19024.29579
-1.7,3001,19074.041773
-4.7,3001,19122.674647
-0.5,3001,19207.032731
-1.2,3001,19256.892702
-0.5,3001,19305.689345
-1.4,3001,19355.07501
-1.8,3001,19402.823603
0.6,3001,19451.637506
-0.4,3001,19500.541782
-3.5,3001,19548.17946
-2.8,3001,19596.374091
-0.7,3001,19644.763326
2.0,3001,19732.918465
-2.4,3001,19781.699607
-0.4,3001,19830.970552
-0.3,3001,19880.077568
-0.0,3001,19928.969926
-3.5,3001,19978.345659
-1.4,3001,20028.852493
1.0,3001,20077.954415
0.5,3001,20126.413188
0.9,3001,20175.816465
-0.4,3001,20265.055098
-2.6,3001,20314.003596
0.8,3001,20360.309146
-1.3,3001,20409.60374
-1.7,3001,20458.216217
2.0,3001,20507.536295
-1.4,3001,20556.548834
-1.4,3001,20604.90188
-0.7,3001,20653.732111
-0.4,3001,20701.538043
-2.3,3001,20789.677902
0.6,3001,20838.108093
-2.4,3001,20887.626238
-1.7,3001,20937.401656
0.4,3001,20986.713861
-0.7,3001,21034.963706
0.5,3001,21081.914925
0.5,3001,21130.805307
0.1,3001,21180.019449
-3.3,3001,21228.91665
-0.5,3001,21320.806893
-0.3,3001,21370.703644
-1.3,3001,21419.923644
0.6,3001,21467.603265
-1.3,3001,21516.229809
0.8,3001,21564.789865
-0.4,3001,21614.173129
-4.6,3001,21663.199972
-0.1,3001,21711.789241
-0.3,3001,21762.622539
0.9,3001,21852.618883
-0.4,3001,21900.127283
-1.5,3001,21952.81783
-1.5,3001,22003.452365
0.6,3001,22053.568312
-0.6,3001,22102.496462
-1.3,3001,22153.173607
-1.6,3001,22203.16094
-2.3,3001,22252.717527
-0.4,3001,22302.311073
-1.8,3001,22393.197168
-0.5,3001,22444.300986
0.2,3001,22494.966384
-1.4,3001,22547.41617
-1.8,3001,22599.606205
-0.4,3001,22649.800534
0.6,3001,22702.189429
-0.7,3001,22753.104419
0.7,3001,22803.547857
-2.4,3001,22853.768888
0.6,3001,22945.087471
-0.6,3001,22996.065993
-0.5,3001,23045.886193
-1.6,3001,23096.968244
-0.5,3001,23148.963118
-1.5,3001,23199.873139
-1.7,3001,23252.309808
-1.5,3001,23302.261084
-1.5,3001,23353.077532
0.5,3001,23404.801479
-0.4,3001,23501.645847
-2.0,3001,23551.67514
-3.2,3001,23603.021646
-1.6,3001,23653.541378
0.2,3001,23705.342465
-0.2,3001,23758.024559
-3.3,3001,23808.997678
0.5,3001,23858.322071
-2.5,3001,23908.726964
0.0,3001,23958.915836
